content,category,importance
Organize garage and donate old items,personal,0.4
Take dad to doctor appointment,family,0.9
Practice gratitude and positive thinking,health,0.4
Clear browser history and cache,personal,0.2
Annotate research papers for tomorrow's seminar,academic,0.7
Kids soccer practice Saturday 9am at field,family,0.8
Attend industry conference next month,work,0.6
Optimize database queries for faster load times,work,0.75
Skin cancer screening appointment,health,0.8
Use standing desk for better posture,health,0.5
Join study Discord server for physics class,academic,0.3
Set financial goals for next year,finance,0.7
Email cousin about wedding attendance,family,0.6
Open high-yield savings account,finance,0.7
Call mental health helpline if needed,health,0.9
Attend operating systems lecture at 9am Monday,academic,0.6
Volunteer for department open house event,academic,0.3
Conduct reference check for job candidate,work,0.75
Help daughter with math homework,family,0.75
Update address with bank,finance,0.6
Call mom to check on her health,family,0.6
Avoid screens 1 hour before bedtime,health,0.5
Make grocery list based on recipes,personal,0.6
Organize notes by subject in binder,academic,0.4
Limit alcohol consumption,health,0.6
Start daily journaling habit,personal,0.5
Track daily calorie intake in app,health,0.5
Pay rent by first of month,finance,1.0
Cancel unused streaming subscriptions,finance,0.6
Prepare lab report on chemical reactions experiment,academic,0.8
Organize files in shared drive,work,0.3
Schedule thesis defense date,academic,0.95
Attend neighborhood block party,personal,0.4
Solve calculus problem set chapter 7 questions 1-25,academic,0.8
Movie night with family this Saturday,personal,0.5
Set up VPN for remote work access,work,0.6
Take online certification course on AWS,academic,0.6
Visit local farmers market Sunday morning,personal,0.3
Conduct user testing for new dashboard,work,0.7
Get flu shot at clinic,health,0.7
Submit financial aid forms by Friday,academic,0.9
Interview candidate for senior developer position,work,0.85
Print thesis draft for review,academic,0.6
Make estimated tax payment,finance,0.95
Prepare flashcards for biology terminology test,academic,0.7
Complete mandatory compliance training module,work,0.8
Rearrange living room furniture,personal,0.2
Organize family photos into albums,family,0.4
Book flight tickets for summer vacation,personal,0.8
Teach kids to cook simple meals,family,0.5
Make extra payment on student loans,finance,0.8
Prepare research poster for conference,academic,0.85
Review peer feedback on group assignment,academic,0.5
Physical therapy session for knee pain,health,0.8
Meal prep healthy lunches for work week,health,0.7
Attend kids school performance,family,0.85
Join cycling group for weekend ride,health,0.5
Create vision board for life goals,personal,0.5
Quarterly review meeting with CEO Friday 2pm,work,0.95
Participate in hackathon this weekend,academic,0.5
Review spending categories and adjust,finance,0.65
Update beneficiaries on insurance policies,finance,0.8
Literature review for dissertation on NLP,academic,0.9
Create meal plan for next week,personal,0.5
Plan romantic weekend getaway,family,0.6
Drink 8 glasses of water throughout day,health,0.6
Create estate planning documents,finance,0.8
Write in gratitude journal before bed,personal,0.3
Plan surprise birthday party for partner,personal,0.9
Backup photos to external hard drive,personal,0.7
Renew parking pass for office garage,work,0.3
Attend workshop on agile methodologies,work,0.5
Listen to relaxing music before bed,health,0.3
Fix leaky kitchen faucet this weekend,personal,0.7
Help elderly parents with yard work,family,0.6
Read chapters 10-12 for data structures course,academic,0.7
Try new HIIT workout routine,health,0.5
Prepare performance review for direct reports,work,0.9
Archive old project documentation,work,0.4
Visit grandparents at nursing home,family,0.7
Install security updates on work laptop,work,0.7
